,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
31,13635,1.0333333333333334,receiver,3.4461472,15.367621,teammate,7.482391,13.4080105,opponent,2.5836267,2.182506,opponent,9.032081,2.157434,8.562474565217391,3.1466539043478257,2.2570619999999986,-10.440539999999991,-0.4867650000000001,-0.8714399999999856,0.05100899999999964,0.3122339999999957,0.7068600000000025,0.3452820000000001,undef,0,0,0,0,0,,B,0
32,13636,1.0666666666666667,receiver,3.5213826,15.019603,teammate,7.4661655,13.3789625,opponent,2.585327,2.1929138,opponent,9.055643,2.1689434,8.354647347826086,3.663358956521739,1.8512100000000054,-4.4720700000000235,-0.5640359999999855,-2.2812749999999937,-0.25210799999999534,0.12916799999999728,0.23163000000000267,0.2609459999999997,undef,0,0,0,0,0,,B,0
33,13637,1.1,receiver,3.5830896,14.870534,teammate,7.4473643,13.30292,opponent,2.5769234,2.1972194,opponent,9.063364,2.1776416,8.146820130434781,4.180064008695652,2.3706210000000016,-6.163589999999957,-0.45563100000000745,-3.1686899999999874,-0.11813400000000307,-0.3146279999999946,0.38349000000001965,0.5752890000000077,undef,0,0,0,0,0,,B,0
34,13638,1.1333333333333333,receiver,3.6621103,14.665081,teammate,7.4321766,13.197297,opponent,2.5729856,2.1867318,opponent,9.076147,2.1968179,7.938992913043477,4.696769060869565,0.08943599999999385,-2.068380000000012,0.0009119999999995798,0.003929999999989775,-0.0071729999999980976,0.07671300000000603,-0.019170000000041654,0.047426999999999886,undef,0,0,0,0,0,,B,0
35,13639,1.1666666666666667,receiver,3.6650915,14.596135,teammate,7.432207,13.197428,opponent,2.5727465,2.1892889,opponent,9.075508,2.1983988,7.731165695652173,5.213474113043478,2.754704999999995,-1.7212200000000344,-0.5360520000000069,-2.2530300000000025,-0.2133150000000006,-0.6127170000000115,-0.11927999999999273,0.3768119999999975,undef,0,0,0,0,0,,B,0
36,13640,1.2,receiver,3.756915,14.538761,teammate,7.4143386,13.122327,opponent,2.565636,2.168865,opponent,9.071532,2.2109592,7.523338478260869,5.7301791652173915,1.0967820000000073,-0.13795499999995187,-0.7937040000000017,-0.47070000000003276,-0.35755199999999654,0.26518800000001175,-0.019500000000007844,1.0190459999999968,undef,0,0,0,0,0,,B,0
37,13641,1.2333333333333334,receiver,3.7934744,14.5341625,teammate,7.3878818,13.106637,opponent,2.5537176,2.1777046,opponent,9.070882,2.2449274,7.315511260869565,6.246884217391305,1.888655999999993,1.8689549999999677,0.1389450000000103,2.529930000000018,-0.7257840000000071,0.6958919999999935,-0.4486799999999924,-0.9352619999999989,undef,0,0,0,0,0,,B,0
38,13642,1.2666666666666666,receiver,3.8564296,14.596461,teammate,7.3925133,13.190968,opponent,2.5295248,2.200901,opponent,9.055926,2.213752,7.107684043478261,6.763589269565218,0.7692360000000109,-4.167750000000012,-0.45078899999999145,-0.7349999999999923,-0.27926399999999685,0.38295600000000096,-0.03482999999999237,-0.5208900000000005,undef,0,0,0,0,0,,B,0
39,13643,1.3,receiver,3.8820708,14.457536,teammate,7.377487,13.166468,opponent,2.520216,2.2136662,opponent,9.054765,2.196389,6.899856826086957,7.28029432173913,1.3165259999999979,-3.098789999999969,-0.4576709999999995,0.5785200000000223,-0.5389500000000069,0.1269239999999927,-0.3876899999999672,0.8835840000000017,undef,0,0,0,0,0,,B,0
40,13644,1.3333333333333333,receiver,3.925955,14.354243,teammate,7.3622313,13.185752,opponent,2.502251,2.217897,opponent,9.041842,2.2258418,6.692029608695652,7.796999373913043,0.0132329999999925,-0.0006000000000305761,0.0009809999999799146,-6.000000000838668e-05,-0.00044699999998787376,0.008466000000000307,-0.0009300000000500575,0.0033600000000033603,undef,0,0,0,0,0,,B,0
